reviews,ratings,votes,class,classnum
"I already attached my coursera account to Google, that is why even if I log into the coursera system from incognito mode the Qwiklabs keep getting an error as I am logged into my personal google account. That is so frustrating. Please fix it!",3,1,neutral,0
Course content is very basic,3,1,neutral,0
it is just an introduction,3,1,neutral,0
Too basic,3,1,neutral,0
"One day of material spread over a suggested 5 weeks.  Most of the material can be cut or moved to another course about general computer and professions skills.  Is it a coincidence that they offer 14-day free trial but don't teach anything for the first 5 weeks?  Finally, parts of the course seem politically motivated, like classifying all data a ""fact"".  Instead, they should focus on teaching the material and leave their personal politics at home.",2,1,bad,-1
"I am currently studying this, much redundancy, it could give the full glossary at the beginning.  The  speakers/coaches are great, but the speech/text is overly lengthy, using points/graphics would be more efficient with the use of the speakers/coaches.  It is annoying like a fly buzz buzz, unsure if I will complete it.   So far, I just made it to Week 4, but Qwiklabs in Week 4 does not work, and so far their technical support does not give me the courtesy username/password that is supposed to be given for this Coursera course, and I am on a budget.  This course does not inspire me whatsoever.  If I do not complete it, I will ask for a full refund.",1,1,bad,-1
"I found it as supremely boring course. Same lines again & again & again & again.....I wonder whether they are checking my patience or just wasting my time. Perhaps they have strategically stretched it to 5 weeks which is basically 2-3 days course at most.

On the other hand Coursera platform itself seems okay, despite some flaws.",1,1,bad,-1
This was just a waste of time. I agree with others 1-star-raters who stated that all topics could be comprised into one or two lessons. I expected much more practical work and not only never-ending talking and unuseful definitions.,1,1,bad,-1
"I love Coursera, but I want to be completely honest:",1,1,bad,-1
"I would say for absolute begineer its fine but for begineer please just go straight why we are using SQL, how to use SQL python power BI tableu uses then go for programing ",1,1,bad,-1
"The course is very very basic, dont teach anything technical",1,1,bad,-1
"My main career goal is to learn every day. I really want to learn and to progress in my career. Programming requires constant learning and improving. Taking this course will help me to learn and study this Data Science and also to implement it. It can help me advance in my knowledge. This course will help me in defining Data Science, understanding how Python could potentially impact our business and industry, to write a thought leadership piece regarding use cases and industry potential of Data Science, explain Data Science to clients, friends, joining a community of economists, business leaders, entrepreneurs, and technologists that are shaping this technology as we speak. Identifying which aspects of Data Science seem most important and relevant to us, Walking away with a strong foundation in where Data Science is going, what it does, and how to prepare for it. Data Science course will help me achieve it to learn. Courses on Coursera helped me to greatly increase my programming knowledge in the past.",5,0,good,1
"It was an excellent entry into data analytics for someone who has never even explored the subject before. Learned a lot of the core foundations that go into data analytics but it didn't feel like it was holding my hand too much. They provided tonnes of resources and reading materials that not only helped during the first stage of the course, but that I know will help for later on. Excited to continue! I've tried online courses before and always ended up being bored or overwhelmed with the workload. The way this course is structured makes it so easy to jump in and out of and the lack of pressure from tutors and none of those screaming bold, red ""MISSED DEADLINE"" headers on your page made this a very relaxing and enjoyable course to do. I'm not one for sticking with things and completing them, but being able to jump in and out of the course any time and do whatever work whenever I wanted to do it has motiviated me to continue. Really enjoyed it!",5,0,good,1
"This course is a wide-lens view of what data analytics is and how it is done. At first I was a bit frustrated, because it felt like I wasn't learning any hard skills. But then I realized that this kind of information is really important to understand before jumping into learning about specific tools like SQL or Tableau. I needed to understand WHY I need these tools, and where they fit into the overall job of a data analyst, in order to fully appreciate and take advantage of learning in future courses. This course also served to fill in gaps in my knowledge that I didn't know that I had, such as the different between a data analyst and a data scientist. Overall, though it didn't teach me hard skills that I can put on my resume, I think that it really set me up to better understand why I am taking these courses (which will help me to stay motivated to complete the certificate) as well as make me excited about the role of an analyst in general. ",5,0,good,1
The best way for a newbie to be introduced to Data Analytics. ,5,0,good,1
"Fabulous start for a newbie. Amazing presenter - I thought he might be there throughout the full certification but only in this course one so far. There is such as wide range of topics covered in this course. It will clarify if the course is for you or not (in my case yes - huzzah!). It defines expectations and does exactly what a foundation course should do in preparing students for what is to come. It is exciting and honest-  it doesn't glamorize this industry. If you are completely new to this I would say add in a few extra hours of self learning to check out the links provided - it's worth the effort. Even if you ultimately decide data analytics is not your jam, this is still a very worthwhile all around interpretation of DA fundamentals, introducing us to a platform that affects all of us, every day, always has and always will.",5,0,good,1
"I took this course as part of the Google Professional Data Analytics Certificate and I can say this is one of the best introductory courses I've ever had. This is the introduction to data analysis that I wish I had a my first job. The basic concepts of data analysis are clearly explained and illustrated with hypothetical scenarios and examples throughout the whole course. The videos are clear and contain subtitles, so they are easier to follow if English is not your first language. There are quizzes at the end of each week so you can review all the content you learn and if you missed anything you can always go back to the content and read or watch the videos again. And the best thing is that you can do all of these at your own pace. Overall, I am very happy with the course and I look forward to finishing my professional certificate. ",5,0,good,1
"From personal experience: This Google data analytics course explains the process and gives you the scaffolding you need to use more advanced concepts. (The talking head videos from different Googlers in different fields feels like a warm environment. I still rewatch some of their tips, especially the one from Cassie.) 

Which is great in my opinion for beginners. I appreciate the synthesis of the whole process. (In other computer science and programming courses elsewhere, I felt thrown into the deep end into nitty gritty technical details that I had to idea what they were for. I'm glad we don't obsess over syntax at first). 

The con is it may lack technical depth, which is okay I think, you can learn that in many other places. Learning the basics and their appropriate context in a solid way is a great foundation.",5,0,good,1
"This is the first couse in the program, so it contain a lot of foundation theory. Lucky that I already have some knowlege about this industry from college and my own learning, so I can speed up a bit and finish this first course in 8 days. ",5,0,good,1
"Overall, this is an excellent course. In my opinion, and I only speak for myself, I would like a note-taking feature that would allow me to take notes on every page, and then have a common access file link in the left column, for quick future reference of these notes. I am currently handwriting my notes, which I do not mind. Also, sometimes terms are missing in a test question, which may trip a test-taker. I might be over-thinking things, but when asked about ""business task"" in a true/false question, and it is solely described as "" the problem or data"" without the remainder or reference to "" for a business"" (as it was defined in the material), this might throw students off. Again, it may be me over-thinking things. ",5,0,good,1
"First of all, I have to thanks Google and Coursera to present that amazing opportunity and valuable science. In my opinion and my view, the first course in Data Analytics is very amazing and fantastic, It starts with you from the beginning and learns you everything in detail and the instructor is very directed and clear. I have learned many amazing things and knew the field of data analytics, the role of data science, tools that used in data analysis including data visualization, spreadsheets, and query language (SQL), and I have known more about stakeholders and data-driven decision-making. In the last of my feedback I thanks Coursera and Google for that fantastic and valuable opportunity.",5,0,good,1
"Very thorough course! I'd really like to know the answers to the questions I got wrong, but I understand why that's not an option. There were a couple of questions asked on the course challenge that I don't remember learning about (specifically how to import a database into a spreadsheet). I was also confused with the first introduction to SQL, but I understood what I had trouble connecting in the following module. Other than that, really happy with the flow and content of the course. ",5,0,good,1
"Love the course so far! Its impactful but concise at the same time. They do a great job testing your skills to really make sure you are learing the most from the course. I already see a difference in my thinking. There are small technicallities, whcih are really minor when you think of the whole scope of the course. The discussion prompts, I really don't find as effective as all the other tools, and a lot of times I ran into issues while typing up my answers. Also, since there are questions that ask about the type of visualizatios, I wish there was more information/ examples on it. Even reviewing the those subjects, I was left a little confused. Overall, loving it and glad that I chose to pursue this!",5,0,good,1
"- Gain an understanding of the practices and processes used by a junior or associate data analyst in their day-to-day job.  - Learn about key analytical skills (data cleaning, data analysis, data visualization) and tools (spreadsheets, SQL, R programming, Tableau) that you can add to your professional toolbox.  - Discover a wide variety of terms and concepts relevant to the role of a junior data analyst, such as the data life cycle and the data analysis process.  - Evaluate the role of analytics in the data ecosystem.  - Conduct an analytical thinking self-assessment.  - Explore job opportunities available to you upon program completion, and learn about best practices in the job search.",5,0,good,1
"I love Tony Sir, he explained the concepts in a very easy way from starting. And he motivates genuienly from bottom of his heart. I loved this course; process for completing this course is very fascinating to me. Hope further courses are much more in a critical and analytical way coz I learned the basics of Data very well. How to analyze it, analytical thinking, Business knowledge + Data = Mystery solved. ",5,0,good,1
Thank you very much Google Team for creating this amazing course!,5,0,good,1
"In my view, this course should be must for every working professionals as most of the contends will surely be used in day to day work performed by professionals. I will apply the most of the concepts in daily work life and same will assist me in understanding data, analyzing, communicating in a constructive way with facts, patterns and trends derived from the course. ",5,0,good,1
"The course is really helpful if you are a beginner and want to enter the data field job. this course gives an overview of the various data jobs available and the similarities and differences between these jobs. It gives you  various scenarios and case studies so you can think and analyse the problems of your own and which helps to develop your probem solving skills and decision making skills and to derive into a solution. Absolutely enjoyed each class and tests in the process. Hats of to the creators of this course ,and also the educators for their lovely input and sharing their insights in the most wonderful and yet simple way. Thankyou very much. ",5,0,good,1
"I absolutely love the diversity in the presenters for each of these courses in the program. The presenters were very knowledgeable but were excellent in breaking down the information in a beginner-friendly manner. There was so much content, but possible to learn and understand. I really loved the interactive lessons that gave the learner the plenty opportunity to practice the new content within each lesson.  I really enjoyed this program that helped me to learn what I needed to learn without feeling overwhelmed. It was also extremely helpful that the design of the new information was always presented in a manner that real-world applications.  ",5,0,good,1
"I really learned a lot from this course.  It gave me the chance to reflect on myself from a analytic point of view.  I was able to think back on some of the situations I've experienced in my life and now realized, If I had applied some analysis to the life choices I've made, I probable would've had a better outcome.  This course has also taught me to approach problems systematically.   Using the 5 why's is a good starting point.  The beautiful thing about this course is that you can take this knowledge with you throughout the rest of you life.  I enjoyed this course.  Looking forward to the next one.   Thank you Google / Coursera.",5,0,good,1
"One word. WOW. 
This course really elevated, overwhelmed and encouraged me for my future aspirations. I come from a non technical background with little or no knowledge in Data Analysis, or so I thought. This course provided me all the boost I needed for me to become a Data Analyst. 
The methodology was really good and systematic, which I loved the most. Everything is step by step and one by one. Before you know it, you will actually end up with spending hours reading, watching and researching in this course.
I hope on becoming an Analyst myself and this course will always be a part of me.
Thank You Google and Thank You Coursera.",5,0,good,1
For learning the fundementals this course is great. I knew that SQL was a coding lanuage however I didnt know the first thing about it. The instructor for this course helped break things down to a level that a novice can understand easily. ,5,0,good,1
"if you are  in the field of data science or data analytics ,do this foundation course you will get a new insight about what really this field has to offer ,what it is actually talking about and how will it has been used worldwide . so i would strongly recommend this course for first timer in this field. this is very well structured basic programme i like the video lecture, and the way every little things have been covered and explained in easy manner. and all the quizes,case study, and learning logs have been again great to fully understand the topic well and helps to strengthen you weak areas . Loved the course!! ",5,0,good,1
"For impatient folks like me who would prefer to dive headfirst into the practical aspects of analytics, I would say take your time with this first course in the program; you will find it completely worthwhile! ",5,0,good,1
"Many times, I opt for some course, which are taught in English. I don't find problem in understanding in English. but the problem arise for me , is to depict sometimes , what they have just said. Because sometimes, tutors voice accent is a little fuzzy. and for that i had to watch whole video watching at subtitles, and just because of this problem I start to loose interest in course. But , but , but , In this Google's Course, all tutor's voice was so clear , their way of teaching was too friendly, like they were not speaking formal words time to time , they explained everything very simply. And I loved this :)",5,0,good,1
"Since I have been working in different industries and positions along my professional career, I found this a very easy course. But very interesting nonetheless. Two notes: 1) I have never worked with SQL and I haven't figured out in this course on whether the following courses will teach me SQL or if I have to learn it by myself. 2) One of the questions on the last wrap-up assignment seemed wrong to me. We had to say if =average (E:E) was the formula we had to use. I said it was false because it should have been =average(E2:E39). Maybe, you want to change this so people like me don't get it wrong. Thanks!",5,0,good,1
T<U+200B>his course help me understand about basic understanding about data Analysis with six phases broadly and very comfortably.I really like the instructors how they managed with such a nice behaviour during the whole course timeline and all the topics they covered were so understandable as they teaching us in such a great method. I am very happy to enrolled in this course and by far I have realised that this industry will have a great outcomes in future and I am ready to enroll the remained courses as well .,5,0,good,1
Thanks to Google and Coursera to provide this course and making such a quality learning providing platform. This is very much helpful to a beginner in the Data analytics. I have learned a lot from this course and which will be useful in my career growth. The instructors are not only focuses on the course content but also they motivate too to keep the consistency in learning and learn more. Through the course I have enjoyed a lot and I was always eager to learn more and was very curious to learn through the course when a new chapter of the course opens. Once again thanks to Google and Coursera.,5,0,good,1
"It was very interesting to understand the first steps to Data Analytics. The course focuses on teaching you how to be and think analytically, not only by showing you everyday examples, but giving you tasks to help develop your analytical skills. I think it very good to introduce you to the analytics world. However, it's also very good to understand if this field is for you. Consider this course as the first step of this process, but mostly understand that this course is only introductory, I believe that in the next courses I will learn more about how the real deal is all about.",5,0,good,1
"I am from Pakistan and by the friends suggestion i started this certification, in which this course is on the top. From the vry begining of the course, I was very excited and same as in the end of course. Whole course structure inlcuding videos, readings, learning logs and quizes are so interesting and helpful for me to learn more about the Data. I am very thankful to the Coursera and Google who provide such classic facilities in such panademic situation by just sitting in the home. I hope my other courses also motivates me such as now and help me to complete my certification. ",5,0,good,1
"Very detailed and very beginner friendly. You really are introduced to the scope of being a data analyst from the get-go. With just that first course you are already on your way to your comfort as regards data literacy. This is a course for the analytical minded one like me who never could organize our thought process when it comes to data. This course made me realize how valuable my analytical mindset was. If you are curious, problem-oriented and detail-oriented, this path is for you. I cannot wait to discover what the whole certificate program has to offer. Great course!",5,0,good,1
"I really enjoyed a lot learning this course , it greatly helped me to think beyond and make more ideas with existing knowledge, it improvised thinking on data analyst path and gave me clarification on leading next steps towards to achieve my career into data analyst role. Thank you to tutors who have gave there precious time to teach the course and make the course felt as it was not virtual instead it looked like I was in front of them. The way of teaching the course is best in class. Thank you coursera and google for helping me in attaining my first step to data analyst.",5,0,good,1
"Some of the questions on the weekly and course challenges require deductions that are not explained in the suggested feedback.  For example the feedback for the following question is not clear.  I know this has to do with stakeholders but there is no section on ""key people data analysts work with"" so it is hard to find the right section to review.",5,0,good,1
"It's such a complete, unbiased, complex, intuitive, and ergonomic course give by amazing instructors that come from many different backgrounds that I was so happy to learn from and empathize with them. The connection I felt throughout this course kept me engaged and hungry for knowledge. I'm so happy Google's creating such valuable and important courses. They are the highlight of my days and I wish so many people can benefit from this amazing content. It's invaluable to learn while being so happy and connected to the content you're engaging with. Thank you Google!",5,0,good,1
"A<U+200B>lthough I'm working in data analytics from a few years. but this first course answer many question I was looking for. Moreover, it gives a brief picture of which area I need to focus to work on and it aslo share a top level resources to dive deep and understand more what you are here for. When doing this course there is no benifit if you don't go through every single thing provided. or if you just try to finish the course just to finish it. Try to understand what you are here for. Research the topic you think you need to know about above and beyond. ",5,0,good,1
"From someone with a non-technical degree, I found this course easy to follow and very user friendly. I also appreciated how the weeks were tailored for different kinds of learning styles that people might have. I've recommended this certificate course to everyone at this point because I think (even though I haven't finished it yet) lots of people can benefit from what's taught in this course. Whether they're trying to pursue a technical degree or just up their skills in the workplace, I feel like this was an evenly paced and well-thought out course.",5,0,good,1
"It was a really amazing course. Honestly, since I was a complete beginner I was a little bit nervous while starting this course but as I was moving forward I really understood concepts well because the instructors really were always encouraging and were explaining concepts in a very easy way for us to understand. Also, the frequent practice quizzes helped me in gaining some confidence for the final graded assignments and I really performed great in them. Hoping to complete this entire certification soon and getting my first job as a Data Analytics.",5,0,good,1
"Unlike popular opinion, I do not think that the course is useless at all. Surely it is easy, because it is called ""FOUNDATION"", which sets piece in data analytics. I have learnt about data lifecycle and data analysis cycle, which gave me an overview of how data analysts work, so the first three weeks were definitely not a waste. The learning log is also helpful in stimulating my sense of thinking like a data analyst. Overall, an informative and interactive course. I am looking forward to the next course. Hopefully, it will be more challenging.",5,0,good,1
"For some people, it could be very elementary. For absolute beginners, it is a great course. It clearly clarifies different type of data analysts in different industries, beginner can start to think about how to position themselves in the world of data analyst according to their interests. Some concepts are repeated over different videos which I appreciate,  as it helps solidify the fundamentals of data analysis. Speakers in the video tell their own story from their data analyst journey, it is encouraging and sheds positive lights. ",5,0,good,1
"I found the course to be very informative and extremly proficient in engaging the student in the learning process.  I was prepared when it was time to take the quizzes and exams, having the open book learning style is great for those whom never had prior knowledge of what a Data Analysis does!  ",5,0,good,1
"It's very interesting course, it relates my experience, education with many concepts and ideas such as: data usage, importance, and power, data analysis, informed-decision making, data analyst roles & responsibilities, data actionable insights, thinking analytically, visualization tools, querying basics... and much more.",5,0,good,1
"Great course for everyone , easy to understand learning made fun while getting the real work done.",5,0,good,1
"I really enjoyed this course. It was well formatted and easy to follow. The videos along with the written transcripts are fantastic. The only item that I found confusing was understanding how to contact class mates. Every time I tried to find people out of the thousands who took this course, I just got lost. It would be great if the entire section could be simplified. Perhaps break the number of people down into smaller groups? Thank you for making this course, I really enjoyed it and cant wait to work in the field. ",5,0,good,1
